Time,Force
0,0
0.008,0.0481
0.016,0.0705
0.024,0.1046
0.032,0.1464
0.04,0.1923
0.048,0.2408
0.056,0.2938
0.064,0.3534
0.072,0.4201
0.08,0.4937
0.088,0.5718
0.096,0.6523
0.104,0.7333
0.112,0.8131
0.12,0.8908
0.128,0.9652
0.136,1.0355
0.144,1.1013
0.152,1.1628
0.16,1.2203
0.168,1.2735
0.176,1.3224
0.184,1.3682
0.192,1.4111
0.2,1.4507
0.208,1.4879
0.216,1.5253
0.224,1.5648
0.232,1.6051
0.24,1.6426
0.248,1.6754
0.256,1.7047
0.264,1.7342
0.272,1.7653
0.28,1.7949
0.288,1.8204
0.296,1.8428
0.304,1.8626
0.312,1.8805
0.32,1.8973
0.328,1.9136
0.336,1.9287
0.344,1.9426
0.352,1.9556
0.36,1.9668
0.368,1.9746
0.376,1.98
0.384,1.9851
0.392,1.9906
0.4,1.9951
0.408,1.9976
0.416,1.9988
0.424,1.9997
0.432,2
0.44,1.9994
0.448,1.9976
0.456,1.9952
0.464,1.9934
0.472,1.9926
0.48,1.9916
0.488,1.9897
0.496,1.9879
0.504,1.9873
0.512,1.9881
0.52,1.9886
0.528,1.987
0.536,1.9835
0.544,1.9793
0.552,1.9758
0.56,1.9731
0.568,1.9693
0.576,1.9639
0.584,1.9571
0.592,1.9473
0.6,1.9323
0.608,1.9096
0.616,1.8778
0.624,1.838
0.632,1.7911
0.64,1.737
0.648,1.6757
0.656,1.6067
0.664,1.5301
0.672,1.4481
0.68,1.3621
0.688,1.2722
0.696,1.1777
0.704,1.0801
0.712,0.9812
0.72,0.8816
0.728,0.7822
0.736,0.6811
0.744,0.5744
0.752,0.4604
0.76,0.3416
0.768,0.226
0.776,0.1275
0.784,0
