percent stance,6Blarge,6A,force,dFdt
0,75.21,2.7778,0,0
2.5,1.674,0,-0.1539,-7.7329
5,0,30.0654,-0.0274,6.3548
7.5,0,36.6013,0.1114,6.9743
10,0,99.5136,0.3047,9.7173
12.5,0,100.4286,0.7558,22.666
15,0,30.6523,1.2357,24.1143
17.5,0.4902,0,1.0747,-8.0913
20,0,50.3671,0.8826,-9.652
22.5,0.6669,122.6664,1.2538,18.6554
25,1.0139,104.1825,1.9084,32.8921
27.5,0,9.2437,2.1973,14.5181
30,0,44.4178,1.981,-10.8692
32.5,0,48.4463,2.1297,7.4753
35,0,41.6042,2.2426,5.6693
37.5,0,3.0479,2.2054,-1.8652
40,12.2549,0,1.7832,-21.2182
42.5,92.4989,0,1.2026,-29.1752
45,27.7046,1.3072,0.5038,-35.114
47.5,0,116.8197,0.6284,6.2603
50,0,45.4248,1.3221,34.857
52.5,0,0,1.4606,6.9625
55,0,50,1.2436,-10.9067
57.5,0,35.6882,1.6144,18.6327
60,0,2.3409,1.6711,2.851
62.5,0,38.9065,1.6767,0.2823
65,0,19.9113,1.7666,4.5151
67.5,0,5.2554,1.7393,-1.3714
70,0,0,1.5333,-10.3538
72.5,0,49.0063,1.3587,-8.7719
75,0,113.9728,1.7234,18.3275
77.5,0.6803,87.1354,2.1882,23.3583
80,1.1705,64.6735,2.5134,16.3399
82.5,0,1.9608,2.6762,8.1789
85,0,0,2.3303,-17.3813
87.5,12.7451,0,1.8062,-26.3379
90,31.4959,0.9804,1.2416,-28.3708
92.5,13.1821,0,0.8973,-17.299
95,50.5992,0.4902,0.6326,-13.302
97.5,82.1365,3.1046,0.2638,-18.5345
