percent stance,6B,6A,force,dFdt
0,58.6239,4.0063,0,0
2.5,20.969,1.4477,-0.0328,-1.6493
5,3,0,-0.1264,-4.7005
7.5,0,0.3082,-0.057,3.487
10,0,0.6164,-0.0245,1.6292
12.5,83.6015,1.6125,-0.1761,-7.6168
15,10,0,-0.3247,-7.4661
17.5,0,0,-0.3409,-0.8135
20,0,4.3333,-0.2444,4.8502
22.5,0,7.6164,-0.1465,4.9193
25,0,48.8391,-0.0547,4.6119
27.5,0,83.0225,0.2127,13.4395
30,0,88.5247,0.5981,19.3648
32.5,0.3333,71.7244,0.9515,17.7612
35,0.6415,86.754,1.2969,17.3516
37.5,0.3082,49.085,1.5877,14.6142
40,0,14.8302,1.7208,6.6908
42.5,0,0.9497,1.59,-6.5735
45,0,28.5308,1.4579,-6.6385
47.5,0,10.8087,1.4492,-0.4354
50,0,86.8154,1.4946,2.2799
52.5,0.3082,129.1101,1.901,20.4209
55,1.5194,67.0025,2.5344,31.8295
57.5,0,1.9497,2.6329,4.9486
60,0.3798,0,2.0589,-28.8419
62.5,9.7326,0.3798,1.3648,-34.8814
65,1.0679,0,0.9772,-19.4758
67.5,0,0,0.905,-3.6302
70,0,0,0.8374,-3.394
72.5,0,6.8239,0.754,-4.1906
75,0,58.1258,0.9027,7.4704
77.5,0,13.2516,1.0856,9.1922
80,0,0.6164,1.0531,-1.6356
82.5,1.8992,0.7597,0.9257,-6.3997
85,38.8979,1.1395,0.7809,-7.2745
87.5,37.6835,0.9962,0.5372,-12.2477
90,0.6667,0,0.3224,-10.7924
92.5,0,0,0.1863,-6.8412
95,0,0,0.1081,-3.9319
97.5,28.0721,1.1395,0.0948,-0.6685
