percent stance,6Blarge,6A,force,dFdt,6B
0,22.4785,0,0,0,82.1393
2.5,0.3871,0,8.15E-03,0.4109,17.0366
5,22.8423,0,0.0164,0.414,92.8364
7.5,104.777,0,0.1528,6.8559,219.4343
10,0,0,0.2774,6.2586,108.3956
12.5,0,0,0.2529,-1.2315,77.6738
15,0,0,0.2179,-1.7591,46.4108
17.5,42.3871,0,0.2158,-0.1045,125.4506
20,124.9022,0,0.4034,9.426,223.1166
22.5,38.1073,0,0.6485,12.3144,141.3514
25,25.2532,0,0.7319,4.1917,139.5401
27.5,83.7165,0,0.8362,5.2424,170.0919
30,94.0772,0,1.0607,11.284,190.436
32.5,16.453,0,1.2423,9.1217,110.2354
35,45.5433,0,1.3234,4.0792,149.3746
37.5,47.175,0,1.4582,6.7711,128.4629
40,13.3905,0,1.5856,6.4031,112.5342
42.5,0.3871,0,1.609,1.1751,79.6068
45,0.3871,0,1.5861,-1.1515,76.4805
47.5,24.8377,0,1.5786,-0.3745,117.644
50,34.221,0,1.6851,5.351,121.7008
52.5,1.2357,0,1.7134,1.4232,41.092
55,0,0,1.5039,-10.5267,7.4286
57.5,25.3627,0,1.4229,-4.0754,102.9543
60,53.4904,0,1.5961,8.7041,142.1093
62.5,5.4938,0,1.7276,6.6098,80.6456
65,0,0,1.681,-2.3428,68.1908
67.5,8.9032,0,1.6759,-0.2537,96.389
70,0.4616,0,1.6946,0.9391,33.5884
72.5,0,1.033,1.5045,-9.5546,0
75,0.3871,38.5253,1.2198,-14.3043,0.3871
77.5,0,25.4204,0.8999,-16.0753,0.3871
80,0.3871,43.929,0.4682,-21.6956,0.8487
82.5,0,42.2195,0.0664,-20.1898,1.1613
85,0,7.5037,-0.1559,-11.1693,1.5484
87.5,0,0,-0.1874,-1.584,0
90,1.1613,0,-0.0776,5.5185,46.7922
92.5,0,0,0.044,6.1113,37.8595
95,0,0,0.0792,1.7658,13.6824
97.5,0,13,-0.0228,-5.1238,1.5484
