percent stance,6Blarge,6A,force,dFdt,6Ball
0,0.3828,0,0,0,2.5375
2.5,0,0,-0.0264,-1.3282,33.2703
5,18.375,0,0.0738,5.0334,97.4048
7.5,6.125,0,0.1744,5.0573,98.0231
10,0.3828,0,0.2229,2.4392,75.1304
12.5,6.5078,0,0.2393,0.8232,93.289
15,72.8573,0,0.3153,3.8181,174.9621
17.5,20.0766,0,0.449,6.7193,126.4403
20,30.0891,0,0.5468,4.9146,138.7456
22.5,60.951,0,0.6449,4.9311,155.5685
25,70.4229,0,0.7978,7.6789,166.9215
27.5,78.2245,0,0.9827,9.2922,153.9034
30,56.1688,0,1.1724,9.5351,147.0336
32.5,8.5573,0,1.2981,6.317,103.0391
35,8.463,0,1.3538,2.7971,107.4383
37.5,18.2375,0,1.4085,2.7522,107.9401
40,50.1599,0,1.4988,4.5361,137.8112
42.5,75.3906,0,1.6357,6.8785,149.7716
45,29.1469,0,1.7784,7.1722,118.9791
47.5,44.4276,0,1.8863,5.4231,135.6164
50,20.1438,0,1.9892,5.1696,110.0132
52.5,12.3521,0,2.0768,4.4009,112.9792
55,19.7786,0,2.1326,2.8033,107.369
57.5,85.5651,0,2.2318,4.9837,166.5995
60,108.2125,0,2.475,12.2217,173.8996
62.5,31.2224,0.49,2.7374,13.1871,115.5819
65,0,0,2.7017,-1.7945,59.0324
67.5,0,0,2.3999,-15.1649,12.8625
70,0,0,2.2249,-8.7948,59.5664
72.5,0,0.2042,2.2352,0.5175,40.3208
75,0,0,2.1424,-4.6625,6.3984
77.5,0,4.6667,1.8805,-13.1589,7.5833
80,0,12.0524,1.5981,-14.1946,5.8333
82.5,0,11.7257,1.4019,-9.8589,8.1667
85,0,11.9686,1.2288,-8.6946,5.0495
87.5,0,6.1673,1.0375,-9.6149,5.8333
90,0,1.2556,0.9197,-5.9194,3.5
92.5,0,15.0034,0.8207,-4.974,11.0833
95,0,52.0081,0.5495,-13.6297,13.4405
97.5,0.3828,55.7911,0.1271,-21.2277,14.3359
